,0
1962-03-01,-1.3052738904953003
1962-04-01,-1.2864512205123901
1962-05-01,-1.4060627222061157
1962-06-01,-2.051286458969116
1962-07-01,-1.3066004514694214
1962-08-01,0.9771432280540466
1962-09-01,0.9554592967033386
1962-10-01,-0.42218834161758423
1962-11-01,0.22518691420555115
1962-12-01,-0.20695997774600983
1963-01-01,-0.8838268518447876
1963-02-01,-0.7986239790916443
1963-03-01,-1.549896478652954
1963-04-01,-1.0618877410888672
1963-05-01,-1.991936445236206
1963-06-01,-0.8167091608047485
1963-07-01,-0.5033583045005798
1963-08-01,1.1545554399490356
1963-09-01,2.5405545234680176
1963-10-01,2.1407361030578613
1963-11-01,-0.05467674136161804
1963-12-01,-0.8247666358947754
1964-01-01,-0.5400052070617676
1964-02-01,-0.22853316366672516
